# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             291   N   0000029c   00000511   0000029e   ---        --------
             292   N   0000029e   00000591   000002a0   x10_a0     0000045c
             293   N   000002a0   fec59ce3   000002a2   x11_a1     0048007c
             294   N   000002a2   aa018613   0000029a   ---        --------
             297   N   0000029a   0000c194   0000029c   x13_a3     01e28863
             299   N   0000029c   00000511   0000029e   ---        --------
             300   N   0000029e   00000591   000002a0   x10_a0     00000460
             301   N   000002a0   fec59ce3   000002a2   x11_a1     00480080
             302   N   000002a2   aa018613   0000029a   ---        --------
             305   N   0000029a   0000c194   0000029c   x13_a3     001e4683
             307   N   0000029c   00000511   0000029e   ---        --------
             308   N   0000029e   00000591   000002a0   x10_a0     00000464
             309   N   000002a0   fec59ce3   000002a2   x11_a1     00480084
             310   N   000002a2   aa018613   0000029a   ---        --------
             313   N   0000029a   0000c194   0000029c   x13_a3     002e0793
             315   N   0000029c   00000511   0000029e   ---        --------
             316   N   0000029e   00000591   000002a0   x10_a0     00000468
             317   N   000002a0   fec59ce3   000002a2   x11_a1     00480088
             318   N   000002a2   aa018613   0000029a   ---        --------
             321   N   0000029a   0000c194   0000029c   x13_a3     00df8023
             323   N   0000029c   00000511   0000029e   ---        --------
             324   N   0000029e   00000591   000002a0   x10_a0     0000046c
             325   N   000002a0   fec59ce3   000002a2   x11_a1     0048008c
             326   N   000002a2   aa018613   0000029a   ---        --------
             329   N   0000029a   0000c194   0000029c   x13_a3     0007c603
             331   N   0000029c   00000511   0000029e   ---        --------
             332   N   0000029e   00000591   000002a0   x10_a0     00000470
             333   N   000002a0   fec59ce3   000002a2   x11_a1     00480090
             334   N   000002a2   aa018613   0000029a   ---        --------
             337   N   0000029a   0000c194   0000029c   x13_a3     80230785
             339   N   0000029c   00000511   0000029e   ---        --------
             340   N   0000029e   00000591   000002a0   x10_a0     00000474
             341   N   000002a0   fec59ce3   000002a2   x11_a1     00480094
             342   N   000002a2   aa018613   0000029a   ---        --------
             345   N   0000029a   0000c194   0000029c   x13_a3     c70300cf
             347   N   0000029c   00000511   0000029e   ---        --------
             348   N   0000029e   00000591   000002a0   x10_a0     00000478
             349   N   000002a0   fec59ce3   000002a2   x11_a1     00480098
             350   N   000002a2   aa018613   0000029a   ---        --------
             353   N   0000029a   0000c194   0000029c   x13_a3     07850007
             355   N   0000029c   00000511   0000029e   ---        --------
             356   N   0000029e   00000591   000002a0   x10_a0     0000047c
             357   N   000002a0   fec59ce3   000002a2   x11_a1     0048009c
             358   N   000002a2   aa018613   0000029a   ---        --------
             361   N   0000029a   0000c194   0000029c   x13_a3     00ef8023
             363   N   0000029c   00000511   0000029e   ---        --------
             364   N   0000029e   00000591   000002a0   x10_a0     00000480
             365   N   000002a0   fec59ce3   000002a2   x11_a1     004800a0
             366   N   000002a2   aa018613   0000029a   ---        --------
             369   N   0000029a   0000c194   0000029c   x13_a3     0007c283
             371   N   0000029c   00000511   0000029e   ---        --------
             372   N   0000029e   00000591   000002a0   x10_a0     00000484
             373   N   000002a0   fec59ce3   000002a2   x11_a1     004800a4
             374   N   000002a2   aa018613   0000029a   ---        --------
             377   N   0000029a   0000c194   0000029c   x13_a3     80230785
             379   N   0000029c   00000511   0000029e   ---        --------
             380   N   0000029e   00000591   000002a0   x10_a0     00000488
             381   N   000002a0   fec59ce3   000002a2   x11_a1     004800a8
             382   N   000002a2   aa018613   0000029a   ---        --------
             385   N   0000029a   0000c194   0000029c   x13_a3     c303005f
             387   N   0000029c   00000511   0000029e   ---        --------
             388   N   0000029e   00000591   000002a0   x10_a0     0000048c
             389   N   000002a0   fec59ce3   000002a2   x11_a1     004800ac
             390   N   000002a2   aa018613   0000029a   ---        --------
             393   N   0000029a   0000c194   0000029c   x13_a3     07850007
             395   N   0000029c   00000511   0000029e   ---        --------
             396   N   0000029e   00000591   000002a0   x10_a0     00000490
             397   N   000002a0   fec59ce3   000002a2   x11_a1     004800b0
             398   N   000002a2   aa018613   0000029a   ---        --------
             401   N   0000029a   0000c194   0000029c   x13_a3     006f8023
             403   N   0000029c   00000511   0000029e   ---        --------
             404   N   0000029e   00000591   000002a0   x10_a0     00000494
             405   N   000002a0   fec59ce3   000002a2   x11_a1     004800b4
             406   N   000002a2   aa018613   0000029a   ---        --------
             409   N   0000029a   0000c194   0000029c   x13_a3     0007c383
             411   N   0000029c   00000511   0000029e   ---        --------
             412   N   0000029e   00000591   000002a0   x10_a0     00000498
             413   N   000002a0   fec59ce3   000002a2   x11_a1     004800b8
             414   N   000002a2   aa018613   0000029a   ---        --------
             417   N   0000029a   0000c194   0000029c   x13_a3     80230785
             419   N   0000029c   00000511   0000029e   ---        --------
             420   N   0000029e   00000591   000002a0   x10_a0     0000049c
             421   N   000002a0   fec59ce3   000002a2   x11_a1     004800bc
             422   N   000002a2   aa018613   0000029a   ---        --------
             425   N   0000029a   0000c194   0000029c   x13_a3     c503007f
             427   N   0000029c   00000511   0000029e   ---        --------
             428   N   0000029e   00000591   000002a0   x10_a0     000004a0
             429   N   000002a0   fec59ce3   000002a2   x11_a1     004800c0
             430   N   000002a2   aa018613   0000029a   ---        --------
             433   N   0000029a   0000c194   0000029c   x13_a3     07850007
             435   N   0000029c   00000511   0000029e   ---        --------
             436   N   0000029e   00000591   000002a0   x10_a0     000004a4
             437   N   000002a0   fec59ce3   000002a2   x11_a1     004800c4
             438   N   000002a2   aa018613   0000029a   ---        --------
             441   N   0000029a   0000c194   0000029c   x13_a3     40fe08b3
             443   N   0000029c   00000511   0000029e   ---        --------
             444   N   0000029e   00000591   000002a0   x10_a0     000004a8
             445   N   000002a0   fec59ce3   000002a2   x11_a1     004800c8
             446   N   000002a2   aa018613   0000029a   ---        --------
             449   N   0000029a   0000c194   0000029c   x13_a3     00af8023
             451   N   0000029c   00000511   0000029e   ---        --------
             452   N   0000029e   00000591   000002a0   x10_a0     000004ac
             453   N   000002a0   fec59ce3   000002a2   x11_a1     004800cc
             454   N   000002a2   aa018613   0000029a   ---        --------
             457   N   0000029a   0000c194   0000029c   x13_a3     00b88eb3
             459   N   0000029c   00000511   0000029e   ---        --------
             460   N   0000029e   00000591   000002a0   x10_a0     000004b0
             461   N   000002a0   fec59ce3   000002a2   x11_a1     004800d0
             462   N   000002a2   aa018613   0000029a   ---        --------
             465   N   0000029a   0000c194   0000029c   x13_a3     05d05963
             467   N   0000029c   00000511   0000029e   ---        --------
             468   N   0000029e   00000591   000002a0   x10_a0     000004b4
             469   N   000002a0   fec59ce3   000002a2   x11_a1     004800d4
             470   N   000002a2   aa018613   0000029a   ---        --------
             473   N   0000029a   0000c194   0000029c   x13_a3     0007cf03
             475   N   0000029c   00000511   0000029e   ---        --------
             476   N   0000029e   00000591   000002a0   x10_a0     000004b8
             477   N   000002a0   fec59ce3   000002a2   x11_a1     004800d8
             478   N   000002a2   aa018613   0000029a   ---        --------
             481   N   0000029a   0000c194   0000029c   x13_a3     053307a1
             483   N   0000029c   00000511   0000029e   ---        --------
             484   N   0000029e   00000591   000002a0   x10_a0     000004bc
             485   N   000002a0   fec59ce3   000002a2   x11_a1     004800dc
             486   N   000002a2   aa018613   0000029a   ---        --------
             489   N   0000029a   0000c194   0000029c   x13_a3     802340fe
             491   N   0000029c   00000511   0000029e   ---        --------
             492   N   0000029e   00000591   000002a0   x10_a0     000004c0
             493   N   000002a0   fec59ce3   000002a2   x11_a1     004800e0
             494   N   000002a2   aa018613   0000029a   ---        --------
             497   N   0000029a   0000c194   0000029c   x13_a3     c68301ef
             499   N   0000029c   00000511   0000029e   ---        --------
             500   N   0000029e   00000591   000002a0   x10_a0     000004c4
             501   N   000002a0   fec59ce3   000002a2   x11_a1     004800e4
             502   N   000002a2   aa018613   0000029a   ---        --------
             505   N   0000029a   0000c194   0000029c   x13_a3     08b3ff97
             507   N   0000029c   00000511   0000029e   ---        --------
             508   N   0000029e   00000591   000002a0   x10_a0     000004c8
             509   N   000002a0   fec59ce3   000002a2   x11_a1     004800e8
             510   N   000002a2   aa018613   0000029a   ---        --------
             513   N   0000029a   0000c194   0000029c   x13_a3     802300b5
             515   N   0000029c   00000511   0000029e   ---        --------
             516   N   0000029e   00000591   000002a0   x10_a0     000004cc
