# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             172   N   0000029e   00000591   000002a0   x10_a0     00000418
             173   N   000002a0   fec59ce3   000002a2   x11_a1     00480038
             174   N   000002a2   05918613   0000029a   ---        --------
             178   N   0000029a   0000c194   0000029c   x13_a3     f0000fb7
             180   N   0000029c   00000511   0000029e   ---        --------
             181   N   0000029e   00000591   000002a0   x10_a0     0000041c
             182   N   000002a0   fec59ce3   000002a2   x11_a1     0048003c
             183   N   000002a2   05918613   0000029a   ---        --------
             187   N   0000029a   0000c194   0000029c   x13_a3     01ee06b3
             189   N   0000029c   00000511   0000029e   ---        --------
             190   N   0000029e   00000591   000002a0   x10_a0     00000420
             191   N   000002a0   fec59ce3   000002a2   x11_a1     00480040
             192   N   000002a2   05918613   0000029a   ---        --------
             196   N   0000029a   0000c194   0000029c   x13_a3     00b68633
             198   N   0000029c   00000511   0000029e   ---        --------
             199   N   0000029e   00000591   000002a0   x10_a0     00000424
             200   N   000002a0   fec59ce3   000002a2   x11_a1     00480044
             201   N   000002a2   05918613   0000029a   ---        --------
             205   N   0000029a   0000c194   0000029c   x13_a3     01df8023
             207   N   0000029c   00000511   0000029e   ---        --------
             208   N   0000029e   00000591   000002a0   x10_a0     00000428
             209   N   000002a0   fec59ce3   000002a2   x11_a1     00480048
             210   N   000002a2   05918613   0000029a   ---        --------
             214   N   0000029a   0000c194   0000029c   x13_a3     fff58713
             216   N   0000029c   00000511   0000029e   ---        --------
             217   N   0000029e   00000591   000002a0   x10_a0     0000042c
             218   N   000002a0   fec59ce3   000002a2   x11_a1     0048004c
             219   N   000002a2   05918613   0000029a   ---        --------
             223   N   0000029a   0000c194   0000029c   x13_a3     00767293
             225   N   0000029c   00000511   0000029e   ---        --------
             226   N   0000029e   00000591   000002a0   x10_a0     00000430
             227   N   000002a0   fec59ce3   000002a2   x11_a1     00480050
             228   N   000002a2   05918613   0000029a   ---        --------
             232   N   0000029a   0000c194   0000029c   x13_a3     001e0793
             234   N   0000029c   00000511   0000029e   ---        --------
             235   N   0000029e   00000591   000002a0   x10_a0     00000434
             236   N   000002a0   fec59ce3   000002a2   x11_a1     00480054
             237   N   000002a2   05918613   0000029a   ---        --------
             241   N   0000029a   0000c194   0000029c   x13_a3     0ce05763
             243   N   0000029c   00000511   0000029e   ---        --------
             244   N   0000029e   00000591   000002a0   x10_a0     00000438
             245   N   000002a0   fec59ce3   000002a2   x11_a1     00480058
             246   N   000002a2   05918613   0000029a   ---        --------
             250   N   0000029a   0000c194   0000029c   x13_a3     06028e63
             252   N   0000029c   00000511   0000029e   ---        --------
             253   N   0000029e   00000591   000002a0   x10_a0     0000043c
             254   N   000002a0   fec59ce3   000002a2   x11_a1     0048005c
             255   N   000002a2   05918613   0000029a   ---        --------
             259   N   0000029a   0000c194   0000029c   x13_a3     80634305
             261   N   0000029c   00000511   0000029e   ---        --------
             262   N   0000029e   00000591   000002a0   x10_a0     00000440
             263   N   000002a0   fec59ce3   000002a2   x11_a1     00480060
             264   N   000002a2   05918613   0000029a   ---        --------
             268   N   0000029a   0000c194   0000029c   x13_a3     43890662
             270   N   0000029c   00000511   0000029e   ---        --------
             271   N   0000029e   00000591   000002a0   x10_a0     00000444
             272   N   000002a0   fec59ce3   000002a2   x11_a1     00480064
             273   N   000002a2   05918613   0000029a   ---        --------
             277   N   0000029a   0000c194   0000029c   x13_a3     04728863
             279   N   0000029c   00000511   0000029e   ---        --------
             280   N   0000029e   00000591   000002a0   x10_a0     00000448
             281   N   000002a0   fec59ce3   000002a2   x11_a1     00480068
             282   N   000002a2   05918613   0000029a   ---        --------
             286   N   0000029a   0000c194   0000029c   x13_a3     8063450d
